dataset: GeoCSV 2.0
#delimiter: |
#field_unit: unitless | unitless | degrees_north | degrees_east | meters | unitless | ISO_8601 | ISO_8601
#field_type: string | string | float | float | float | string | datetime | datetime
Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
IU|SDV|8.8839|-70.634|1620.0|Santo Domingo, Venezuela|2010-01-17T00:00:00Z|2599-12-31T23:59:59Z
IU|SFJD|66.9961|-50.62076|330.0|Sondre Stromfjord, Greenland|2008-09-20T00:00:00Z|2599-12-31T23:59:59Z
IU|SJG|18.1091|-66.15|420.0|San Juan, Puerto Rico|2010-04-16T00:00:00Z|2599-12-31T23:59:59Z
IU|SLBS|23.6858|-109.9443|825.0|Sierra la Laguna Baja California Sur, Mexico|2008-12-15T00:00:00Z|2599-12-31T23:59:59Z
IU|SNZO|-41.3087|174.7043|120.0|South Karori, New Zealand|2010-12-10T00:00:00Z|2599-12-31T23:59:59Z
IU|SSPA|40.6358|-77.8876|270.0|Standing Stone, Pennsylvania|2010-09-27T00:00:00Z|2599-12-31T23:59:59Z
IU|TARA|1.3549|172.9229|20.0|Tarawa Island, Republic of Kiribati|2009-11-13T00:10:27Z|2599-12-31T23:59:59Z
IU|TATO|24.9735|121.4971|160.0|Taipei, Taiwan|2009-09-22T13:56:41Z|2599-12-31T23:59:59Z
IU|TEIG|20.2263|-88.2763|40.0|Tepich, Yucatan, Mexico|2009-09-18T00:00:00Z|2014-10-30T00:00:00Z
IU|TIXI|71.6341|128.8667|40.0|Tiksi, Russia|2009-03-17T00:00:00Z|2014-09-21T00:00:00Z
IU|TRIS|-37.0681|-12.3152|60.0|Tristan da Cunha|2009-09-18T00:00:00Z|2016-03-18T00:00:00Z
IU|TRQA|-38.0568|-61.9787|540.0|Tornquist, Argentina|2009-05-19T20:00:00Z|2599-12-31T23:59:59Z
IU|TSUM|-19.2022|17.5838|1260.0|Tsumeb, Namibia|2008-09-16T10:00:00Z|2599-12-31T23:59:59Z
IU|TUC|32.3098|-110.7847|910.0|Tucson, Arizona|2009-05-28T19:40:00Z|2599-12-31T23:59:59Z
IU|ULN|47.8651|107.0532|1610.0|Ulaanbaatar, Mongolia|2009-09-18T00:00:00Z|2013-09-29T00:00:00Z
IU|WAKE|19.2834|166.652|20.0|Wake Island|2009-05-11T00:00:00Z|2599-12-31T23:59:59Z
IU|WCI|38.2289|-86.2939|210.0|Wyandotte Cave, Indiana, USA|2010-08-23T00:00:00Z|2599-12-31T23:59:59Z
IU|WVT|36.1297|-87.83|170.0|Waverly, Tennessee, USA|2011-01-23T00:00:00Z|2599-12-31T23:59:59Z
IU|XMAS|2.0448|-157.4457|20.0|Kiritimati Island, Republic of Kiribati|2009-05-11T00:00:00Z|2014-03-14T00:00:00Z
IU|YAK|62.031|129.6805|110.0|Yakutsk, Russia|2009-02-26T00:00:00Z|2013-05-28T00:00:00Z
IU|YSS|46.9587|142.7604|150.0|Yuzhno Sakhalinsk, Russia|2009-03-08T00:00:00Z|2013-10-22T00:00:00Z
